,baseMean,log2FoldChange,pvalue,padj,symbol
ENSG0000000151,53.0,-1.460591807715415,4.198362345752119e-06,0.003081144327483489,GENE_150
ENSG0000000105,35.875,-1.6873242183508341,5.321110704033005e-06,0.0035789283182133882,GENE_104
ENSG0000000193,51.125,-1.533681995777463,5.4876900879271954e-06,0.0035789283182133882,GENE_192
ENSG0000000165,158.75,-1.7246872643877695,5.93166986857261e-06,0.0037072936678578814,GENE_164
ENSG0000000123,297.375,-1.5616082892689762,7.042515567637858e-06,0.004062989750560303,GENE_122
ENSG0000000157,603.5,-1.5801853604592841,6.893341277869487e-06,0.004062989750560303,GENE_156
ENSG0000000160,100.625,-1.6453351187006378,7.57068744958578e-06,0.0042059374719921,GENE_159
ENSG0000000187,80.125,-1.6733494948702345,8.431126988749607e-06,0.004516675172544432,GENE_186
ENSG0000000068,452.5,1.2643896854458048,1.0327296379254182e-05,0.005163648189627091,GENE_67
ENSG0000000109,54.125,-1.3665389815876539,1.0089134790660783e-05,0.005163648189627091,GENE_108
ENSG0000000025,50.375,1.449683642085735,1.1043530033958031e-05,0.005303258867020797,GENE_24
ENSG0000000184,81.25,-1.6027737768376167,1.1313618916311034e-05,0.005303258867020797,GENE_183
ENSG0000000155,60.5,-1.5065358537643398,1.2677565383139073e-05,0.00576252971960867,GENE_154
ENSG0000000048,449.0,1.3028638332604405,1.3810270550162599e-05,0.006092766419189382,GENE_47
ENSG0000000098,148.0,1.4890670734988376,1.4488697852070345e-05,0.006209441936601576,GENE_97
ENSG0000000035,346.75,1.3981581194708215,1.644976139039899e-05,0.006668822185296888,GENE_34
ENSG0000000132,43.5,-1.3716307117636444,1.6249038702380733e-05,0.006668822185296888,GENE_131
ENSG0000000142,257.5,-1.5478493277040568,2.191623390705207e-05,0.008651144963310028,GENE_141
ENSG0000000066,743.75,1.2841201650669665,2.534848244468588e-05,0.009749416324879185,GENE_65
ENSG0000000186,104.0,-1.328002609297047,2.7430531358085712e-05,0.010035560252958188,GENE_185
ENSG0000000120,112.0,-1.2593866288186495,2.703592341717355e-05,0.010035560252958188,GENE_119
ENSG0000000117,35.75,-1.9439054379290737,3.057882837986776e-05,0.010921010135667058,GENE_116
ENSG0000000051,164.125,1.2692663595453084,3.310779981313277e-05,0.01154923249295329,GENE_50
ENSG0000000158,84.375,-1.4923963819850836,3.406263757613379e-05,0.01161226281004561,GENE_157
ENSG0000000076,327.25,1.3030791247291962,3.991324141015176e-05,0.012738268535154817,GENE_75
ENSG0000000037,126.75,1.1433024780325491,3.9422671758749175e-05,0.012738268535154817,GENE_36
ENSG0000000176,130.125,-1.5354938244568563,3.895638217081188e-05,0.012738268535154817,GENE_175
ENSG0000003683,71.375,-0.40178140257657696,4.592342958135002e-05,0.01435107174417188,GENE_3682
ENSG0000000041,299.25,1.417800754367787,5.9731891393160905e-05,0.01736711548486793,GENE_40
ENSG0000000116,61.875,-1.659771088369694,5.732664816844705e-05,0.01736711548486793,GENE_115
ENSG0000000074,1004.0,1.3394506669431154,6.020600034754216e-05,0.01736711548486793,GENE_73
ENSG0000000141,49.25,-1.5558161550616398,5.972336170123005e-05,0.01736711548486793,GENE_140
ENSG0000000154,49.5,-1.5463596614974089,6.492902714501235e-05,0.018376139758022363,GENE_153
ENSG0000000097,144.0,1.4864467600800875,6.898096782462973e-05,0.019161379951286035,GENE_96
ENSG0000010768,581.5,-0.10673117495511836,7.245674146751361e-05,0.019628472089738443,GENE_10767
ENSG0000000078,64.75,1.5043849848741262,7.327962913502352e-05,0.019628472089738443,GENE_77
ENSG0000000125,91.125,-1.4940335345208755,8.085682536234226e-05,0.021278111937458488,GENE_124
ENSG0000000013,125.625,1.4667810743728422,8.94150841681954e-05,0.021987315779064442,GENE_12
ENSG0000000146,113.625,-1.4464731928256658,8.77005995543756e-05,0.021987315779064442,GENE_145
ENSG0000000021,846.5,1.3020039262700855,8.846500936143388e-05,0.021987315779064442,GENE_20
ENSG0000000071,174.375,1.180770977654104,8.850399412562691e-05,0.021987315779064442,GENE_70
ENSG0000000172,9.625,-1.3219280948873622,0.0001012629969920503,0.02449911217549604,GENE_171
ENSG0000000018,158.125,1.4265581742565256,0.00010291692979388422,0.024504030903305767,GENE_17
ENSG0000000088,163.0,1.514999942553589,0.00011283001422124472,0.026037695589518014,GENE_87
ENSG0000000003,239.375,1.1390379560584094,0.0001119641220968174,0.026037695589518014,GENE_2
ENSG0000000103,20.5,-1.538419914784126,0.0001164821280557994,0.026473210921772593,GENE_102
ENSG0000000177,40.0,-1.6828098241193008,0.00012091470315172444,0.027070455929490547,GENE_176
ENSG0000000084,60.25,1.7408595102706974,0.00013058963844210278,0.02880653789164032,GENE_83
ENSG0000000060,423.375,1.2922419643427114,0.00013980889762121005,0.030352500956652956,GENE_59
ENSG0000000121,115.125,-1.5455478196078125,0.00014366850452815732,0.030352500956652956,GENE_120
ENSG0000000049,141.5,1.1837572746218818,0.000143133144936921,0.030352500956652956,GENE_48
ENSG0000000150,58.0,-1.2551147425375557,0.0001502058072441018,0.03129287650918788,GENE_149
ENSG0000000167,133.0,-1.5705354300858763,0.00015577868733148388,0.032009319314688464,GENE_166
ENSG0000000181,90.75,-1.569108549520319,0.00016163703923397242,0.03276426470958901,GENE_180
ENSG0000000152,64.25,-1.5330347086772953,0.00018422435657536153,0.0368448713150723,GENE_151
ENSG0000000185,28.25,-1.6364928013612383,0.00021972797680206826,0.043367363842513475,GENE_184
ENSG0000000070,47.25,1.6571122864769914,0.000264403913411725,0.051507255859426955,GENE_69
ENSG0000000082,169.25,1.3107587871692508,0.0002732869645241951,0.05188992997294843,GENE_81
ENSG0000000044,66.5,1.3219280948873624,0.00027302700474201035,0.05188992997294843,GENE_43
ENSG0000000175,53.0,-1.3578476691423051,0.0002843596908981643,0.053317442043405806,GENE_174
ENSG0000000092,402.375,1.2345779597845659,0.0002964238991708395,0.054893314661266575,GENE_91
ENSG0000000145,54.125,-1.3172667175174992,0.00030736036511036036,0.056224457032383,GENE_144
ENSG0000000005,66.125,1.6474584264549204,0.0003214534435462059,0.058093995821603475,GENE_4
ENSG0000000173,35.25,-1.4909863525121423,0.0003329194120925949,0.05944989501653481,GENE_172
ENSG0000000192,137.625,-1.4234567522568153,0.0003394693599455093,0.05985233042901438,GENE_191
ENSG0000000091,115.625,1.6205347389187372,0.00034315336112634916,0.05985233042901438,GENE_90
ENSG0000000008,308.875,1.2934395379276666,0.00035900512686101976,0.061897435665693064,GENE_7
ENSG0000000166,63.625,-1.588744141263583,0.0003638779796684033,0.06202465562529602,GENE_165
ENSG0000000188,34.0,-1.5289284658068283,0.00037168911400281004,0.06264423269710281,GENE_187
ENSG0000000102,18.75,-1.6629650127224294,0.0003820278056933662,0.06367130094889437,GENE_101
ENSG0000000054,235.875,1.1865269687794422,0.0003894609495491203,0.06419685981578907,GENE_53
ENSG0000000169,24.0,-1.6662626028230045,0.0004352689601698567,0.07096776524508533,GENE_168
ENSG0000000010,207.5,1.1527032609137255,0.00047805076618474335,0.07710496228786183,GENE_9
ENSG0000000056,381.25,1.2066594950718514,0.0004999228426729237,0.07977492170312613,GENE_55
ENSG0000000149,80.25,-1.3822475641611742,0.0005081987007169911,0.08024190011320913,GENE_148
ENSG0000000042,125.125,1.1902780633984797,0.0005367370877066841,0.08386516995416939,GENE_41
ENSG0000004050,88.25,0.33664960059412785,0.0005825209564978095,0.08983462618405295,GENE_4049
ENSG0000000134,74.5,-1.730679331318775,0.0005869195577358127,0.08983462618405295,GENE_133
ENSG0000012710,183.25,0.22879019253459867,0.0006031470149823922,0.09047205224735884,GENE_12709
ENSG0000000043,77.5,1.222392421336448,0.0006026852818268862,0.09047205224735884,GENE_42
ENSG0000000016,45.375,1.2394659346953893,0.0006439293229726532,0.09563306776821581,GENE_15
ENSG0000000162,115.125,-1.5046203924035526,0.0006627004454077674,0.09745594785408344,GENE_161
ENSG0000000113,45.25,-1.5743544011551753,0.0007289762083328477,0.1051407992787761,GENE_112
ENSG0000000090,203.0,1.3306453119884714,0.0007237492315919948,0.1051407992787761,GENE_89
ENSG0000013420,92.375,-0.30963481869593296,0.0007715190495317235,0.1102170070759605,GENE_13419
ENSG0000000127,8.125,-1.8650704199138914,0.0008182155294468886,0.11578521643116349,GENE_126
ENSG0000000174,65.625,-1.5594274086140185,0.0008677238040939998,0.12164352393841117,GENE_173
ENSG0000000179,24.625,-1.6742298388182435,0.0008974654568488495,0.12464798011789577,GENE_178
ENSG0000000128,16.875,-1.4052564784862585,0.0009340633377384218,0.12854082629427824,GENE_127
ENSG0000000171,9.5,-1.5849625007211563,0.0009529806617445644,0.12995190841971332,GENE_170
ENSG0000000196,68.75,-1.5640535109581755,0.0009661515303964824,0.13056101762114627,GENE_195
ENSG0000000795,11.375,-1.4811266897366164,0.0010169611218432705,0.13381067392674612,GENE_794
ENSG0000000022,70.625,1.615768547502331,0.001012827755616942,0.13381067392674612,GENE_21
ENSG0000000104,12.5,-2.091922489441039,0.001014918138339389,0.13381067392674612,GENE_103
ENSG0000008172,358.5,-0.25418348825152814,0.001061536442217317,0.13846127507182399,GENE_8171
ENSG0000000122,9.375,-1.8826430493618413,0.0011494976232971858,0.1486419340470499,GENE_121
ENSG0000011077,25.0,1.0544477840223765,0.0011913974927716025,0.1527432683040516,GENE_11076
ENSG0000002978,15.125,0.7560744171139108,0.0012232377731345866,0.15385137910491573,GENE_2977
ENSG0000000059,152.625,1.3326976169223377,0.0012216207235174524,0.15385137910491573,GENE_58
ENSG0000000062,69.5,1.1224360756609932,0.0012308110328393257,0.15385137910491573,GENE_61
ENSG0000014452,60.875,-0.35129015451870554,0.0012475273700628734,0.15465215331357934,GENE_14451
ENSG0000000135,10.5,-1.8744691179161412,0.0013135245657381544,0.16018592265099443,GENE_134
ENSG0000000198,43.75,-1.163975735111126,0.001312618945177095,0.16018592265099443,GENE_197
ENSG0000000094,56.375,1.1365730528754439,0.001338189347213519,0.16051070388973546,GENE_93
ENSG0000002622,175.5,-0.1398576635829606,0.0013331089051043744,0.16051070388973546,GENE_2621
ENSG0000000129,46.125,-1.4078777077059779,0.0013482899126737778,0.16051070388973546,GENE_128
ENSG0000008454,24.0,-0.5787035102494739,0.0014095115827192633,0.16647774599046417,GENE_8453
ENSG0000014311,57.5,0.39128137602623564,0.0014410087602934603,0.16886821409688987,GENE_14310
ENSG0000000115,29.125,-1.9088521119418045,0.0014765264328998756,0.1716891201046367,GENE_114
ENSG0000012385,31.75,-0.7673392432097249,0.0015706067091579483,0.18122385105668634,GENE_12384
ENSG0000004264,38.125,-0.5456495766963301,0.0015924230239579835,0.18233851419366226,GENE_4263
ENSG0000006276,63.25,-0.3437583429115775,0.001642848056962659,0.18668727920030215,GENE_6275
ENSG0000000002,74.0,1.1261771060771448,0.0016901058823448965,0.19043435479920695,GENE_1
ENSG0000011635,251.125,-0.3594700572483413,0.0017012135695395822,0.19043435479920695,GENE_11634
ENSG0000000144,48.25,-1.5355503065960783,0.0017458633269175625,0.1939848141019514,GENE_143
ENSG0000002168,8.375,1.232660756790275,0.00180267392999119,0.1988243305137342,GENE_2167
ENSG0000000195,43.5,-1.4131379663633623,0.0018259424684433198,0.19992070822372116,GENE_194
ENSG0000000099,92.0,1.669851398307669,0.0018585731031477315,0.20201881555953605,GENE_98
ENSG0000003360,15.5,-1.0174874267288412,0.0018774704788523126,0.20260472793370282,GENE_3359
ENSG0000000067,84.125,1.5199525094885322,0.0018917603970504556,0.20268861396969165,GENE_66
ENSG0000000028,163.125,1.5222584560927361,0.0019329786222308076,0.2032140850577213,GENE_27
ENSG0000010926,9.25,-1.1488633859144828,0.0019373076108836096,0.2032140850577213,GENE_10925
ENSG0000000106,67.875,-1.2211274540998702,0.0019156879003591678,0.2032140850577213,GENE_105
ENSG0000010071,31.375,-0.8892965355937803,0.0020062168672271685,0.20898092366949672,GENE_10070
ENSG0000003972,9.375,-1.0874628412503393,0.0020973166622766676,0.21696379264931046,GENE_3971
ENSG0000006733,70.125,0.2423029642497074,0.0021420561964557287,0.2200742667591502,GENE_6732
ENSG0000002401,18.25,0.4786535985748155,0.002166300656964067,0.22105108744531296,GENE_2400
ENSG0000000100,65.75,1.0288961456344559,0.002220502717786139,0.22505095112697357,GENE_99
ENSG0000013628,448.25,-0.15302230580880277,0.002266384273442002,0.22815949061496665,GENE_13627
ENSG0000011666,19.25,0.8073549220576041,0.0022983099133956956,0.22983099133956955,GENE_11665
ENSG0000001042,28.875,-0.4150374992788438,0.0023829513516741138,0.23549056781265895,GENE_1041
ENSG0000000137,13.875,-1.782408564927373,0.0023863044205016106,0.23549056781265895,GENE_136
ENSG0000000140,7.75,-1.914270125974116,0.002445010810914111,0.2397069422464815,GENE_139
ENSG0000003765,83.5,-0.3472221150512722,0.0025742100919100355,0.25073474921201644,GENE_3764
ENSG0000000081,74.25,1.591446534291355,0.0026501144558614643,0.2564626892769159,GENE_80
ENSG0000000257,378.0,-0.1834461410959312,0.0026903983214782326,0.2570444256189394,GENE_256
ENSG0000000110,32.0,-1.4383700031094677,0.002689579330799354,0.2570444256189394,GENE_109
ENSG0000000112,39.125,-1.5422580497669178,0.0029154912513961987,0.2767871441198923,GENE_111
ENSG0000002448,40.375,-0.5330347086772953,0.0029753827504216926,0.28069648588883894,GENE_2447
ENSG0000009838,307.75,0.09848370415570226,0.0030914871058179156,0.2898269161704296,GENE_9837
ENSG0000000053,39.875,1.7019186470670054,0.0031943744116016796,0.29367369558546025,GENE_52
ENSG0000000183,9.375,-1.5594274086140185,0.0031565092915614907,0.29367369558546025,GENE_182
ENSG0000011755,24.625,-0.7019186470670054,0.003210832405067699,0.29367369558546025,GENE_11754
ENSG0000004474,118.375,-0.22286396735825964,0.0031745115433368604,0.29367369558546025,GENE_4473
ENSG0000011882,37.0,-0.8845227825800641,0.003236598463903721,0.2938427876180979,GENE_11881
ENSG0000004607,34.125,0.6114347120823471,0.003251860182973617,0.2938427876180979,GENE_4606
ENSG0000012720,14.125,-0.8123729968242287,0.003432199962828892,0.3082814337870262,GENE_12719
ENSG0000000108,48.0,-1.4098757941630649,0.003521624736564818,0.30891445057586125,GENE_107
ENSG0000013502,84.0,-0.4062748994242783,0.003464488126690799,0.30891445057586125,GENE_13501
ENSG0000003109,112.125,0.30023302378804323,0.003504971798825509,0.30891445057586125,GENE_3108
ENSG0000000199,42.875,-1.7169908944049401,0.003505567694626286,0.30891445057586125,GENE_198
ENSG0000000045,15.75,1.8073549220576042,0.0035483190625343686,0.3094464298721833,GENE_44
ENSG0000011658,260.5,-0.21360918882095123,0.0036167458496458075,0.3118481019056808,GENE_11657
ENSG0000014210,139.875,0.21441289302463157,0.003617437982105897,0.3118481019056808,GENE_14209
ENSG0000000153,14.5,-1.9385994553358568,0.003667487970748255,0.3143561117784218,GENE_152
ENSG0000004738,57.0,0.5376567859427995,0.0037822350579000104,0.32065003430859673,GENE_4737
ENSG0000002354,8.125,-1.7369655941662063,0.0037836704048414414,0.32065003430859673,GENE_2353
ENSG0000000069,156.875,1.1653614763000688,0.0038853441217916677,0.3274166394768259,GENE_68
ENSG0000007113,374.25,-0.10219747327442888,0.003978872021350646,0.3334250297221212,GENE_7112
ENSG0000000040,129.625,1.150882553551135,0.004012627530246773,0.3343856275205644,GENE_39
ENSG0000000079,124.5,1.0590723399163922,0.004061126799682204,0.33482085633397557,GENE_78
ENSG0000005036,1938.625,0.04297984426052613,0.004062493056852237,0.33482085633397557,GENE_5035
ENSG0000002983,170.75,0.335242448168243,0.004111554112628634,0.3370126321826749,GENE_2982
ENSG0000000073,94.25,1.1341652383247125,0.004137079037183894,0.3372618780312957,GENE_72
ENSG0000000130,19.125,-1.3550949588225616,0.004186193488890403,0.3394210936938165,GENE_129
ENSG0000014963,72.875,0.31302254166547044,0.004268313959154063,0.34316041842285544,GENE_14962
ENSG0000003190,854.0,0.10563081726656724,0.0043412767001554204,0.34316041842285544,GENE_3189
ENSG0000008908,6.5,1.4405725913859815,0.004296467240111546,0.34316041842285544,GENE_8907
ENSG0000008137,15.5,0.4694852833012202,0.004346698633356169,0.34316041842285544,GENE_8136
ENSG0000000026,122.375,1.0893595201386437,0.004320453991892915,0.34316041842285544,GENE_25
ENSG0000013035,1220.875,-0.12030656439186188,0.004513356196835668,0.3544520573431153,GENE_13034
ENSG0000013899,52.625,0.5621526178130704,0.004598291877978823,0.3592415529670956,GENE_13898
ENSG0000010060,8.25,-1.2016338611696507,0.00471710213814652,0.3666141558144964,GENE_10059
ENSG0000000052,57.0,1.3575520046180838,0.004927571609957689,0.3809978048936357,GENE_51
ENSG0000000170,12.75,-1.78021879212009,0.005151545081655201,0.3962726985888616,GENE_169
ENSG0000001672,34.875,-0.5763493704164482,0.005385482101721985,0.4100620889636029,GENE_1671
ENSG0000001374,7.875,1.0,0.005362060570647826,0.4100620889636029,GENE_1373
ENSG0000000063,22.875,1.1078032895345151,0.0057808904400757375,0.4379462454602831,GENE_62
ENSG0000013492,171.875,0.31390392380254056,0.0058529659214812905,0.441178335790047,GENE_13491
ENSG0000001587,71.375,-0.5576418947216442,0.0059684283126230295,0.4476321234467272,GENE_1586
ENSG0000010737,515.875,-0.11402068520041977,0.006173686735487997,0.46063558027205403,GENE_10736
ENSG0000007757,11.125,-1.2768402053588244,0.006224900394670649,0.46063558027205403,GENE_7756
ENSG0000012566,30.625,0.3910206181603083,0.006233934853015132,0.46063558027205403,GENE_12565
ENSG0000000077,105.5,1.2567439261272249,0.006365022908261083,0.46801639031331493,GENE_76
ENSG0000007346,10.625,-1.1030934929641036,0.006438600962528979,0.47111714359968143,GENE_7345
ENSG0000010315,22.5,-0.38702312310924736,0.006550990482854941,0.4770138701107967,GENE_10314
ENSG0000007530,4.375,-1.5305147166987798,0.006675490215528988,0.48373117503833246,GENE_7529
ENSG0000004788,22.0,0.9877216702215633,0.006717732067549772,0.48445183179445467,GENE_4787
ENSG0000000086,57.625,1.302269569116894,0.006965895214137401,0.4953089258980749,GENE_85
ENSG0000003086,92.5,-0.4002638093015268,0.006940448866558659,0.4953089258980749,GENE_3085
ENSG0000003168,68.375,-0.206072167650082,0.0069673455576329205,0.4953089258980749,GENE_3167
ENSG0000012396,51.125,0.6232794322722582,0.007113347801012772,0.4964089210458654,GENE_12395
ENSG0000000785,129.0,-0.2917661243771099,0.00711183579874023,0.4964089210458654,GENE_784
ENSG0000001696,1001.5,-0.09438864718617429,0.007115194534990738,0.4964089210458654,GENE_1695
ENSG0000000143,3.625,-1.9385994553358568,0.007100210315183392,0.4964089210458654,GENE_142
ENSG0000000939,71.625,-0.1966919110050978,0.007195263361657671,0.4996710667817827,GENE_938
ENSG0000000118,8.0,-1.5849625007211563,0.0074423161283030045,0.5144458153204842,GENE_117
ENSG0000000009,44.0,0.8966892827577041,0.007646898550547974,0.5173182052301105,GENE_8
ENSG0000008043,4.625,-1.0588936890535685,0.007665022764143652,0.5173182052301105,GENE_8042
ENSG0000012962,264.75,0.2348358882031948,0.007725285198102984,0.5173182052301105,GENE_12961
ENSG0000014391,12.875,0.958179824305373,0.007520579759599381,0.5173182052301105,GENE_14390
ENSG0000003501,323.875,-0.1884694019712027,0.007682646161285527,0.5173182052301105,GENE_3500
ENSG0000003132,54.625,-0.41888982477445036,0.007687104755299177,0.5173182052301105,GENE_3131
ENSG0000012703,14.875,-1.0365258760251141,0.0077065732619105345,0.5173182052301105,GENE_12702
ENSG0000007543,175.375,-0.2826529461539224,0.007815389322559815,0.5210259548373211,GENE_7542
ENSG0000008996,64.875,0.28445338946869936,0.007970864960540093,0.5243990105618481,GENE_8995
ENSG0000013229,19.875,0.8002304876242227,0.007970431452865887,0.5243990105618481,GENE_13228
ENSG0000003860,41.375,-0.5740741845784201,0.007913532024201609,0.5243990105618481,GENE_3859
ENSG0000000047,54.5,1.7672481611022488,0.00802911435149729,0.5259245208404338,GENE_46
ENSG0000012446,1055.5,0.11898209625492107,0.00811596581522433,0.5293021183841955,GENE_12445
ENSG0000009490,85.25,-0.39161861189520675,0.00820264675252402,0.5326393995145466,GENE_9489
ENSG0000003197,159.625,-0.22868782786792688,0.00827226718352529,0.5348448610037904,GENE_3196
ENSG0000000093,32.375,1.1358834280817731,0.008344377212050495,0.5354324701210682,GENE_92
ENSG0000011169,43.75,0.4826007830914784,0.008352746533888664,0.5354324701210682,GENE_11168
ENSG0000000876,809.25,0.05348879695689475,0.008691560961493334,0.5465589787080131,GENE_875
ENSG0000007211,1866.625,0.09568014195114576,0.008642826993771674,0.5465589787080131,GENE_7210
ENSG0000001989,20.875,-0.4352153812164741,0.008708506394081009,0.5465589787080131,GENE_1988
ENSG0000008296,251.0,0.2332924896860675,0.008628314992935374,0.5465589787080131,GENE_8295
ENSG0000011742,45.875,-0.5816873686882952,0.008687752015863626,0.5465589787080131,GENE_11741
ENSG0000009649,86.625,-0.28824496863107374,0.008949482320240244,0.5547199785272878,GENE_9648
ENSG0000000023,110.25,1.1118928800708971,0.008943832360607109,0.5547199785272878,GENE_22
ENSG0000013114,40.25,0.6562675347942892,0.008941647622613173,0.5547199785272878,GENE_13113
ENSG0000006804,669.0,0.11219424028292241,0.009001000896476086,0.5556173392886473,GENE_6803
ENSG0000006927,52.375,-0.47952622573055753,0.00919044294520264,0.5649862466313098,GENE_6926
ENSG0000012177,3.0,-1.2801079191927354,0.009317496975267974,0.5704589984857943,GENE_12176
ENSG0000012282,30.5,-0.575114714764809,0.009385239749538844,0.571739270785784,GENE_12281
ENSG0000010471,129.375,-0.2824683797950202,0.009414639992272577,0.571739270785784,GENE_10470
ENSG0000004201,72.875,-0.30301088154473244,0.009562860575472626,0.5749305386530286,GENE_4200
ENSG0000002706,270.75,0.1707113398500111,0.009576130167146446,0.5749305386530286,GENE_2705
ENSG0000003478,3.875,-1.5235619560570128,0.009582175644217143,0.5749305386530286,GENE_3477
ENSG0000000058,56.75,1.1952562913989337,0.00965299345507181,0.5768721188289926,GENE_57
ENSG0000014717,39.125,0.627341102991708,0.009973444099503619,0.5795536545960424,GENE_14716
ENSG0000003048,29.25,0.8097775843244598,0.009809651278597927,0.5795536545960424,GENE_3047
ENSG0000005185,256.875,0.19546596466701258,0.010036299994439701,0.5795536545960424,GENE_5184
ENSG0000000031,39.625,1.3123843222164915,0.010015149405305691,0.5795536545960424,GENE_30
ENSG0000005434,33.125,0.5849625007211562,0.010001800792988562,0.5795536545960424,GENE_5433
ENSG0000010739,28.625,0.5744701269035138,0.009832472476370546,0.5795536545960424,GENE_10738
ENSG0000000197,11.875,-1.73039294024272,0.009965097597055519,0.5795536545960424,GENE_196
ENSG0000009199,2.0,-1.137503523749935,0.009983995813964966,0.5795536545960424,GENE_9198
ENSG0000000089,43.75,1.1255308820838588,0.010045596679664735,0.5795536545960424,GENE_88
ENSG0000007997,91.25,0.28551465271967885,0.010118940877860442,0.5815483263138185,GENE_7996
ENSG0000009012,7.375,0.8556100906648252,0.010213562230353447,0.5847459292187088,GENE_9011
ENSG0000006001,9.0,0.6520766965796931,0.010370896707501043,0.5906474945642815,GENE_6000
ENSG0000011827,677.625,-0.10276992271709112,0.010395395904331353,0.5906474945642815,GENE_11826
ENSG0000013612,15.375,1.1614634226941163,0.010526372699324969,0.5944270568559337,GENE_13611
ENSG0000011489,24.75,-0.41078802627748606,0.010541173141578557,0.5944270568559337,GENE_11488
ENSG0000007899,8.875,-1.2515387669959646,0.010581070932239854,0.5944421872044862,GENE_7898
ENSG0000006944,228.5,-0.22459109340165634,0.010696686236917618,0.598695125200613,GENE_6943
ENSG0000002301,265.375,0.1591771263327857,0.010767109125495363,0.6003964196372878,GENE_2300
ENSG0000001707,140.25,-0.11836219632339305,0.010967503165767707,0.6093057314315393,GENE_1706
ENSG0000003603,1185.375,0.05751459973839895,0.01119429696139116,0.610605551051595,GENE_3602
ENSG0000000731,77.0,-0.18762700317577133,0.011079092232506095,0.610605551051595,GENE_730
ENSG0000011558,4.125,-1.6438561897747246,0.011220412798908527,0.610605551051595,GENE_11557
ENSG0000009491,77.5,-0.42182666494148285,0.011273766627122298,0.610605551051595,GENE_9490
ENSG0000012351,19.875,0.5322210386491828,0.011154681616435225,0.610605551051595,GENE_12350
ENSG0000014557,5.875,0.9541963103868752,0.01127584917608612,0.610605551051595,GENE_14556
ENSG0000000080,5.75,1.3439544012173612,0.011217102562548882,0.610605551051595,GENE_79
ENSG0000004809,459.25,0.23613189896210446,0.011495734783907134,0.6166094467309409,GENE_4808
ENSG0000003160,90.625,-0.2995602818589078,0.01151004300564423,0.6166094467309409,GENE_3159
ENSG0000005645,192.25,-0.21049204268929003,0.011509645431171764,0.6166094467309409,GENE_5644
ENSG0000005221,786.125,-0.10051773452948333,0.011663175261247992,0.6225894267570102,GENE_5220
ENSG0000004603,629.75,-0.14329902456418978,0.011741167192529772,0.6245301698154133,GENE_4602
ENSG0000000095,64.125,1.4422223286050742,0.012139823655311164,0.6245351978516408,GENE_94
ENSG0000006508,117.875,0.37851162325372983,0.012199254198035383,0.6245351978516408,GENE_6507
ENSG0000005452,71.75,-0.40477959391340496,0.012162494173120587,0.6245351978516408,GENE_5451
ENSG0000003667,164.125,-0.23566102249195964,0.01214734409773765,0.6245351978516408,GENE_3666
ENSG0000005181,82.5,0.4944249543075536,0.011917297427235267,0.6245351978516408,GENE_5180
ENSG0000002497,36.875,-0.7083449162264384,0.01207219383090588,0.6245351978516408,GENE_2496
ENSG0000012709,7505.375,0.03003570670966525,0.012122537087358111,0.6245351978516408,GENE_12708
ENSG0000009822,97.875,0.28466847631827996,0.012198955008727258,0.6245351978516408,GENE_9821
ENSG0000010021,562.0,-0.13101068069584015,0.011798253652603377,0.6245351978516408,GENE_10020
ENSG0000001740,721.875,-0.12949223963272188,0.012159537543437392,0.6245351978516408,GENE_1739
