	SRR1	SRR2	SRR3	SRR4	SRR5	SRR6	SRR7	SRR8
ENSG0000000245	10	9	9	9	6	8	18	11
ENSG0000000246	35	40	30	27	45	29	40	35
ENSG0000000247	20	30	36	17	32	25	26	20
ENSG0000000248	17	19	20	24	20	17	32	22
ENSG0000000249	774	733	828	766	800	754	749	752
ENSG0000000250	92	110	100	104	93	115	95	100
ENSG0000000251	3	13	15	5	6	8	7	2
ENSG0000000252	197	204	194	221	196	229	224	189
ENSG0000000253	1376	1358	1223	1227	1275	1287	1280	1359
ENSG0000000254	271	261	266	243	251	277	269	271
ENSG0000000255	12	4	16	3	2	7	5	5
ENSG0000000256	30	16	27	24	15	27	32	18
ENSG0000000257	393	396	425	390	355	338	362	357
ENSG0000000258	15	13	18	15	20	15	26	23
ENSG0000000259	111	110	114	114	119	97	105	103
ENSG0000000260	180	210	173	185	189	190	170	194
ENSG0000000261	13	22	10	12	13	24	10	14
ENSG0000000262	35	50	45	48	44	51	37	59
ENSG0000000263	0	0	0	0	0	0	0	1
ENSG0000000264	10	10	10	15	9	17	13	15
ENSG0000000265	29	30	40	25	38	27	43	27
ENSG0000000266	7	5	5	13	10	14	5	7
ENSG0000000267	635	615	666	590	612	579	662	612
ENSG0000000268	9	2	3	5	2	4	12	4
ENSG0000000269	33	35	21	26	34	18	26	32
ENSG0000000270	72	79	76	78	73	61	43	80
ENSG0000000271	444	504	483	531	495	457	468	500
ENSG0000000272	11	3	5	2	12	5	8	4
ENSG0000000273	320	283	279	304	378	297	297	304
ENSG0000000274	64	45	46	33	61	42	61	71
ENSG0000000275	20	12	9	19	17	4	16	10
ENSG0000000276	122	97	103	111	106	115	127	144
ENSG0000000277	55	84	53	64	71	72	60	75
ENSG0000000278	32	23	40	19	18	27	25	14
ENSG0000000279	47	78	66	81	82	74	64	68
ENSG0000000280	38	29	36	32	34	30	39	38
ENSG0000000281	88	65	54	60	56	67	57	60
ENSG0000000282	128	142	183	159	140	125	169	148
ENSG0000000283	569	619	598	605	559	600	615	581
ENSG0000000284	3	8	5	4	5	6	15	5
ENSG0000000285	1413	1376	1329	1313	1424	1394	1387	1426
ENSG0000000286	2	0	0	2	2	0	6	3
ENSG0000000287	47	51	54	46	42	38	48	53
ENSG0000000288	129	147	120	154	131	99	120	150
ENSG0000000289	74	68	71	103	83	73	96	97
ENSG0000000290	33	10	22	26	9	30	21	14
ENSG0000000291	37	55	44	58	29	33	34	41
ENSG0000000292	46	21	23	17	26	29	22	39
ENSG0000000293	25	37	34	29	28	16	11	24
ENSG0000000294	225	167	228	197	181	225	190	207
ENSG0000000295	95	85	63	73	99	80	103	85
ENSG0000000296	16	16	12	11	21	35	21	15
ENSG0000000297	226	204	179	207	189	201	183	201
ENSG0000000298	91	71	104	71	104	83	75	93
ENSG0000000299	177	174	175	180	204	208	167	216
ENSG0000000300	148	130	120	130	145	142	164	129
ENSG0000000301	11	18	12	17	11	13	22	28
ENSG0000000302	31	37	24	20	26	23	26	29
ENSG0000000303	189	215	197	159	155	200	187	166
ENSG0000000304	133	114	117	103	138	149	134	149
ENSG0000000305	73	60	48	50	73	45	43	63
ENSG0000000306	49	60	58	65	64	78	60	68
ENSG0000000307	407	364	364	339	373	334	407	346
ENSG0000000308	23	20	16	14	31	20	24	20
ENSG0000000309	146	116	127	114	115	128	123	135
ENSG0000000310	28	49	35	62	23	36	50	35
ENSG0000000311	34	37	36	42	54	53	43	29
ENSG0000000312	339	303	330	278	288	254	301	310
ENSG0000000313	194	176	194	180	196	209	168	155
ENSG0000000314	193	181	186	184	174	167	184	186
ENSG0000000315	394	408	395	364	338	409	418	418
ENSG0000000316	47	54	59	37	53	42	57	50
ENSG0000000317	150	166	158	160	138	136	140	152
ENSG0000000318	45	29	32	31	36	35	29	22
ENSG0000000319	80	95	83	72	84	71	68	102
ENSG0000000320	57	48	39	40	50	34	38	59
ENSG0000000321	52	63	59	69	68	51	49	65
ENSG0000000322	133	139	108	141	116	132	146	126
ENSG0000000323	15	12	17	34	16	36	17	12
ENSG0000000324	1166	1396	1306	1368	1228	1263	1245	1252
ENSG0000000325	19	10	7	20	9	13	14	19
ENSG0000000326	10	12	13	7	11	7	11	16
ENSG0000000327	284	327	279	286	286	334	281	364
ENSG0000000328	163	176	200	181	174	162	182	207
ENSG0000000329	147	153	130	134	123	134	165	128
ENSG0000000330	133	149	122	121	117	135	150	144
ENSG0000000331	59	62	61	51	74	46	60	68
ENSG0000000332	12	19	15	8	11	16	12	19
ENSG0000000333	72	53	52	55	53	59	69	56
ENSG0000000334	19	19	12	31	15	23	23	23
ENSG0000000335	214	263	271	250	220	262	223	254
ENSG0000000336	41	49	52	28	22	48	42	38
ENSG0000000337	14	17	8	9	19	19	20	9
ENSG0000000338	25	37	48	28	34	39	30	25
ENSG0000000339	82	106	106	82	99	87	98	105
ENSG0000000340	30	28	25	26	31	36	25	39
ENSG0000000341	11	16	17	7	8	22	20	15
ENSG0000000342	60	108	72	79	88	70	90	94
ENSG0000000343	85	57	58	94	64	56	73	62
ENSG0000000344	24	12	23	18	16	18	27	17
ENSG0000000345	42	24	27	21	26	28	30	33
ENSG0000000346	71	97	70	71	80	57	67	64
ENSG0000000347	8	10	4	6	10	2	11	2
ENSG0000000348	8	9	7	11	5	6	13	14
ENSG0000000349	23	12	10	13	28	19	15	24
ENSG0000000350	24	44	31	46	56	44	34	57
ENSG0000000351	70	92	92	69	78	68	91	73
ENSG0000000352	525	499	520	475	465	469	500	521
ENSG0000000353	201	240	201	172	216	201	197	167
ENSG0000000354	46	50	49	39	54	61	31	57
ENSG0000000355	52	49	41	34	24	52	52	61
ENSG0000000356	7	14	16	16	12	22	16	13
ENSG0000000357	65	57	55	68	62	62	50	37
ENSG0000000358	43	33	43	29	32	44	28	22
ENSG0000000359	102	86	82	117	75	88	89	77
ENSG0000000360	16	9	11	23	14	11	4	20
ENSG0000000361	105	100	98	117	118	111	115	126
ENSG0000000362	520	552	590	567	577	559	526	534
ENSG0000000363	57	41	43	54	45	50	51	35
ENSG0000000364	104	109	99	116	91	110	100	105
ENSG0000000365	166	185	143	142	153	144	142	157
ENSG0000000366	23	46	30	46	32	44	27	23
ENSG0000000367	84	81	64	72	81	92	67	65
ENSG0000000368	51	57	56	53	53	50	55	43
ENSG0000000369	62	61	71	54	66	68	64	63
ENSG0000000370	11	8	19	13	18	20	16	25
ENSG0000000371	54	54	46	48	60	54	46	42
ENSG0000000372	74	123	119	110	105	149	111	129
ENSG0000000373	510	499	482	468	482	463	493	539
ENSG0000000374	221	197	219	193	193	210	240	208
ENSG0000000375	1375	1284	1333	1337	1417	1320	1446	1226
ENSG0000000376	15	10	28	25	9	28	25	17
ENSG0000000377	209	226	195	221	197	193	207	223
ENSG0000000378	73	62	79	46	71	71	68	83
ENSG0000000379	1419	1479	1510	1391	1320	1534	1414	1469
ENSG0000000380	17	27	26	13	15	14	20	11
ENSG0000000381	14	20	13	23	9	8	21	22
ENSG0000000382	12	20	34	25	15	13	20	30
ENSG0000000383	1	2	2	0	2	1	1	4
ENSG0000000384	32	19	26	12	13	24	28	27
ENSG0000000385	21	22	4	20	12	21	20	14
ENSG0000000386	64	68	73	61	62	65	81	69
ENSG0000000387	100	86	88	104	85	93	91	88
ENSG0000000388	914	948	932	903	968	870	933	879
ENSG0000000389	230	216	229	199	223	257	233	238
ENSG0000000390	27	31	25	12	23	24	41	16
ENSG0000000391	8	12	10	14	9	14	7	17
ENSG0000000392	119	98	89	106	92	96	131	135
ENSG0000000393	4	12	9	4	5	3	3	13
ENSG0000000394	829	824	885	889	957	875	890	784
ENSG0000000395	339	299	346	300	275	341	384	308
ENSG0000000396	25	29	29	14	32	26	21	27
ENSG0000000397	6	4	4	5	3	6	7	4
ENSG0000000398	384	405	426	358	394	454	401	414
ENSG0000000399	44	41	44	30	50	64	41	44
ENSG0000000400	436	333	319	369	332	364	350	359
ENSG0000000401	5	3	10	5	5	4	4	4
ENSG0000000402	20	22	21	17	27	41	25	32
ENSG0000000403	57	68	48	60	72	52	44	66
ENSG0000000404	60	37	67	56	61	52	44	59
ENSG0000000405	19	52	23	19	33	41	34	21
ENSG0000000406	128	154	153	145	124	178	139	135
ENSG0000000407	15	5	10	9	6	7	6	10
ENSG0000000408	38	47	52	41	35	47	46	48
ENSG0000000409	57	63	79	58	72	94	81	59
ENSG0000000410	112	126	125	122	109	152	111	105
ENSG0000000411	157	156	171	114	176	159	150	133
ENSG0000000412	6	11	9	2	8	13	5	6
ENSG0000000413	8	5	6	6	2	11	3	3
ENSG0000000414	397	393	403	345	350	337	408	374
ENSG0000000415	93	77	90	89	101	115	89	91
ENSG0000000416	24	24	13	17	24	14	24	19
ENSG0000000417	611	500	637	587	563	618	534	541
ENSG0000000418	50	61	99	77	64	51	71	54
ENSG0000000419	348	327	319	356	354	321	314	324
ENSG0000000420	95	61	79	64	49	68	64	85
ENSG0000000421	1294	1217	1271	1129	1317	1303	1255	1207
ENSG0000000422	761	727	791	730	685	760	725	701
ENSG0000000423	33	40	27	30	33	47	42	52
ENSG0000000424	241	225	253	231	238	199	202	251
ENSG0000000425	131	130	141	146	148	170	158	150
ENSG0000000426	380	422	433	446	433	416	374	407
ENSG0000000427	13	12	14	7	15	9	25	9
ENSG0000000428	156	172	132	153	143	160	148	156
ENSG0000000429	255	231	257	253	286	281	229	275
ENSG0000000430	4	2	4	6	12	2	5	1
ENSG0000000431	12	4	2	9	7	6	6	11
ENSG0000000432	0	4	7	1	2	2	1	1
ENSG0000000433	25	32	51	34	24	39	39	21
ENSG0000000434	144	169	167	164	178	173	150	190
ENSG0000000435	509	524	519	486	489	552	509	494
ENSG0000000436	39	71	57	60	87	57	62	51
ENSG0000000437	663	679	566	620	586	630	602	629
ENSG0000000438	12	4	3	4	5	6	10	7
ENSG0000000439	2	7	5	7	4	2	7	2
ENSG0000000440	63	39	69	38	49	44	52	61
ENSG0000000441	93	109	107	76	138	100	108	99
ENSG0000000442	49	48	47	42	41	58	58	69
ENSG0000000443	1	5	4	5	3	4	2	4
ENSG0000000444	40	50	56	39	57	48	55	34
ENSG0000000445	10	12	9	7	3	10	8	10
ENSG0000000446	155	146	140	146	168	145	139	138
ENSG0000000447	82	106	106	95	112	96	108	107
ENSG0000000448	18	11	22	17	6	12	11	16
ENSG0000000449	25	28	22	20	13	25	24	30
ENSG0000000450	10	6	18	9	12	13	7	11
ENSG0000000451	60	48	52	40	57	45	61	37
ENSG0000000452	185	213	227	196	250	251	218	241
ENSG0000000453	19	16	18	16	5	17	8	6
ENSG0000000454	135	116	127	104	90	97	108	126
ENSG0000000455	24	16	19	23	20	20	20	37
ENSG0000000456	15	7	24	20	19	19	11	19
ENSG0000000457	52	49	32	58	53	43	41	29
ENSG0000000458	15	15	8	16	17	13	13	16
ENSG0000000459	13	27	25	27	18	43	25	29
ENSG0000000460	7	7	11	5	5	14	9	6
ENSG0000000461	985	1069	1050	1044	1017	969	1034	1162
ENSG0000000462	70	58	66	49	49	58	58	65
ENSG0000000463	18	19	25	24	21	23	27	14
ENSG0000000464	86	83	70	82	64	103	70	90
ENSG0000000465	32	69	50	52	54	42	36	73
ENSG0000000466	49	54	37	37	43	25	43	43
ENSG0000000467	162	148	101	124	150	121	115	142
ENSG0000000468	199	154	161	172	154	170	156	136
ENSG0000000469	27	27	28	26	34	31	31	20
ENSG0000000470	24	27	23	22	11	25	19	25
ENSG0000000471	28	42	39	29	33	35	56	31
ENSG0000000472	0	5	3	0	1	2	2	3
ENSG0000000473	3	5	0	4	16	4	7	4
ENSG0000000474	441	434	416	404	460	409	424	414
ENSG0000000475	652	672	657	646	592	685	715	575
ENSG0000000476	36	51	33	38	24	20	46	45
ENSG0000000477	133	103	118	110	94	135	133	127
ENSG0000000478	86	85	96	86	94	91	100	87
ENSG0000000479	5383	5490	5528	5512	5706	5680	5271	5567
ENSG0000000480	272	300	318	291	266	334	282	249
ENSG0000000481	44	34	51	40	59	35	43	52
ENSG0000000482	8	10	24	13	16	11	17	13
ENSG0000000483	0	8	3	6	7	5	4	6
ENSG0000000484	66	71	97	74	88	64	102	96
ENSG0000000485	26	17	20	14	12	11	15	13
ENSG0000000486	7	7	7	6	5	7	10	2
ENSG0000000487	18	16	19	23	24	35	23	21
ENSG0000000488	4	7	8	8	9	13	10	8
ENSG0000000489	685	659	657	767	727	638	663	655
ENSG0000000490	208	226	219	184	178	187	168	184
ENSG0000000491	55	47	48	59	56	53	75	55
ENSG0000000492	466	529	547	488	463	458	537	543
ENSG0000000493	52	64	71	62	61	61	64	50
ENSG0000000494	14	13	33	17	16	23	6	21
ENSG0000000495	528	601	477	585	548	524	518	601
ENSG0000000496	136	152	136	131	155	127	125	122
ENSG0000000497	6	10	16	18	8	8	25	12
ENSG0000000498	39	31	47	30	42	43	41	39
ENSG0000000499	23	16	26	17	25	13	4	24
ENSG0000000500	7	6	9	0	4	11	7	5
ENSG0000000501	209	189	220	188	229	222	225	238
ENSG0000000502	1023	954	927	979	915	960	928	1062
ENSG0000000503	5	6	7	7	7	5	11	7
ENSG0000000504	113	124	144	109	127	127	115	126
ENSG0000000505	13	17	21	20	32	12	15	19
ENSG0000000506	29	21	20	24	22	18	29	25
ENSG0000000507	28	24	30	14	29	27	28	24
ENSG0000000508	16	15	12	16	16	24	16	30
ENSG0000000509	48	76	76	52	56	64	61	54
ENSG0000000510	10	7	18	15	20	13	22	18
ENSG0000000511	85	84	74	84	112	79	52	96
ENSG0000000512	44	58	46	47	54	33	55	54
ENSG0000000513	33	37	41	31	46	31	37	41
ENSG0000000514	17	16	10	8	11	9	13	12
ENSG0000000515	14	17	12	19	16	26	23	29
ENSG0000000516	188	140	199	149	152	147	181	192
ENSG0000000517	82	101	121	116	147	142	121	142
ENSG0000000518	15	9	16	11	7	7	7	6
ENSG0000000519	61	43	68	77	54	86	65	67
ENSG0000000520	167	170	161	152	150	143	144	163
ENSG0000000521	6	1	4	4	4	4	2	4
ENSG0000000522	121	119	104	127	105	119	115	125
ENSG0000000523	10	20	45	21	13	24	10	14
ENSG0000000524	109	116	135	133	163	107	137	147
ENSG0000000525	27	22	26	18	10	12	10	26
ENSG0000000526	2	5	4	1	4	3	3	7
ENSG0000000527	5	6	6	0	6	3	3	2
ENSG0000000528	72	62	60	38	76	50	40	52
ENSG0000000529	107	61	79	74	71	90	90	93
ENSG0000000530	17	18	15	20	14	13	19	15
ENSG0000000531	173	165	120	121	154	180	122	105
ENSG0000000532	12	1	3	5	6	0	5	12
ENSG0000000533	48	36	46	29	42	68	47	41
ENSG0000000534	5	6	4	9	9	16	12	6
ENSG0000000535	20	19	13	31	31	8	12	23
ENSG0000000536	51	64	56	52	54	59	59	58
ENSG0000000537	19	15	27	3	7	7	19	18
ENSG0000000538	37	31	37	33	42	28	32	43
ENSG0000000539	253	193	235	216	268	229	279	265
ENSG0000000540	19	26	35	24	14	28	22	25
ENSG0000000541	165	165	173	153	217	215	174	180
ENSG0000000542	15	11	8	13	10	19	13	6
ENSG0000000543	122	99	117	142	125	120	106	111
ENSG0000000544	466	478	484	459	481	466	423	471
ENSG0000000545	1	4	1	3	0	2	0	2
ENSG0000000546	17	8	16	13	20	11	14	25
ENSG0000000547	115	145	121	130	160	148	130	125
ENSG0000000548	53	43	44	48	37	42	41	38
ENSG0000000549	86	77	108	115	102	126	93	119
ENSG0000000550	19	20	11	35	22	19	41	26
ENSG0000000551	61	77	58	40	70	50	63	43
